FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
40081,0.08044026944356227,0.022934665357965425,0.1111111111111111,0.22347,0.00465,0.13785,0.1260399999999999,0.06296,0.1519,0.25452,0.02636,0.1112841561955889,0.134905762,0.6716243588905322,0.3967391304347827,0.6311352561902158
40087,0.10258467470094328,0.014606272047890688,0.1111111111111111,0.14044,0.02047,0.12098,0.0875799999999999,0.12312,0.08649,0.1338599999999999,0.0149,0.0793831830528513,0.1215749888,0.6915156163341734,0.4130434782608695,0.6117563527407637
40097,0.055966926861339084,0.020553736115295283,0.6666666666666666,0.20365,0.00688,0.15795,0.17452,0.13247,0.18146,0.3811099999999999,0.02841,0.1675817542867722,0.1587252935,0.6475534896552737,0.4239130434782608,0.6349483993101205
40109,0.0970102684963868,0.006938708078638691,0.1111111111111111,0.02763,0.07146,0.1562599999999999,0.14156,0.09501,0.15434,0.20029,0.03225,0.3786178276248637,0.1309816633,0.6842021204051953,0.3858695652173912,0.6311352561902158
40123,0.09087034282180285,0.008872605708399334,0.7777777777777778,0.10805,0.0152,0.14928,0.13926,0.08811,0.15682,0.25,0.0257799999999999,0.2879954754421314,0.1467228535,0.6839093658209705,0.3913043478260869,0.6535229298913203
40127,0.09059454761228207,0.04800730799506321,1.0,0.17966,0.00279,0.1391099999999999,0.21398,0.10891,0.19432,0.40842,0.0596,0.1169865676825008,0.1577851927,0.7520899680014124,0.3804347826086957,0.6535229298913203
40147,0.0664081434803684,0.02546136577875822,0.4444444444444444,0.06405,0.03048,0.15997,0.11463,0.11037,0.1323,0.1990299999999999,0.01974,0.1279618936670022,0.1364484901,0.6415496274131718,0.4130434782608695,0.5798949638027681
40153,0.155398064419075,0.044479645484494804,0.7777777777777778,0.17772,0.04827,0.14451,0.12281,0.09135,0.11132,0.22023,0.03915,0.1535509959706852,0.1208442722,0.6323718970582639,0.2880434782608696,0.5483887034647458
41017,0.4030872348605145,0.020845278471540607,0.3333333333333333,0.0654199999999999,0.0236,0.15095,0.13952,0.1361,0.10835,0.21917,0.01831,0.1242254843462151,0.1185507201,0.5213523053262887,0.3695652173913044,0.5077584108631251
41031,0.20915027217365628,0.030300968892430585,0.6666666666666666,0.20998,0.03789,0.16738,0.2794,0.0826099999999999,0.23085,0.33913,0.04448,0.077199233353934,0.1404925673,0.5172973891350843,0.2989130434782608,0.5077584108631251
